Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
BPSS1944;	bps00626~Naphthalene_degradation	1	3	33.3333333333333	0.379129031959299	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS0481; BPSS2307;	bps00627~Aminobenzoate_degradation	2	16	12.5	0.616414954370236	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL1535; BPSL1536; BPSL1540; BPSL1577; BPSL2188; BPSL2192; BPSL2336; BPSS0558; BPSS0965; BPSS1916; BPSS2214;	bps00630~Glyoxylate_and_dicarboxylate_metabolism	12	57	21.0526315789474	0.0810080032595772	0.595829765806943	1	1	0.998989765913501	0.998989765913501	1
BPSL0063;	bps00640~Propanoate_metabolism	1	35	2.85714285714286	0.986432281839646	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS2307;	bps00643~Styrene_degradation	1	8	12.5	0.657959501105936	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL1534; BPSL1535; BPSL1536; BPSL1540; BPSL1954; BPSL1955; BPSL2073; BPSL2716; BPSS0414; BPSS0840; BPSS1719; BPSS1720; BPSS1916;	bps00650~Butanoate_metabolism	15	44	34.0909090909091	0.00172669917037205	0.0267638371407667	0.15194952699274	0.1605830228446	0.15194952699274	0.15194952699274	0.136901894439866
BPSS0414; BPSS1638;	bps00660~C5-Branched_dibasic_acid_metabolism	2	14	14.2857142857143	0.550659202912087	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2476; BPSS0558;	bps00670~One_carbon_pool_by_folate	2	16	12.5	0.616414954370236	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2219;	bps00680~Methane_metabolism	1	31	3.2258064516129	0.978096774886444	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS1103;	bps00730~Thiamine_metabolism	1	19	5.26315789473684	0.908006468204759	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2219;	bps00750~Vitamin_B6_metabolism	1	7	14.2857142857143	0.614629994528182	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0717; BPSL2885;	bps00760~Nicotinate_and_nicotinamide_metabolism	2	18	11.1111111111111	0.674521843363127	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2345; BPSS0414;	bps00770~Pantothenate_and_CoA_biosynthesis	2	27	7.40740740740741	0.8530458648269	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS0721;	bps00780~Biotin_metabolism	1	15	6.66666666666667	0.851660766621874	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0179; BPSL2476; BPSS0040;	bps00790~Folate_biosynthesis	3	32	9.375	0.76956821535423	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS0371;	bps00860~Porphyrin_and_chlorophyll_metabolism	1	43	2.32558139534884	0.994798529682546	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL1535; BPSL1540;	bps00900~Terpenoid_backbone_biosynthesis	3	17	17.6470588235294	0.393438822957417	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0063;	bps00903~Limonene_and_pinene_degradation	1	7	14.2857142857143	0.614629994528182	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL1551; BPSL1607; BPSL2307; BPSL2308; BPSL2309; BPSL2310; BPSL2312; BPSL2336; BPSL2351; BPSL2363; BPSS1154; BPSS1158; BPSS1243; BPSS1487;	bps00910~Nitrogen_metabolism	14	35	40	0.000706865199926687	0.0131476927186364	0.0629110027934752	0.0657384635931819	0.0629110027934752	0.0629110027934752	0.0672528393902408
BPSL0038; BPSL0197; BPSL1824; BPSL1836; BPSL1837; BPSL2227; BPSS0626; BPSS1241; BPSS2299;	bps00920~Sulfur_metabolism	9	51	17.6470588235294	0.226957872815343	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0063; BPSS1863;	bps00930~Caprolactam_degradation	2	7	28.5714285714286	0.267993941906179	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0187; BPSL0906; BPSS1865;	bps00970~Aminoacyl-tRNA_biosynthesis	3	51	5.88235294117647	0.951193810988372	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS0996;	bps00984~Steroid_degradation	1	2	50	0.300540282288811	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2439; BPSL3325;	bps00998~Biosynthesis_of_various_secondary_metabolites	2	7	28.5714285714286	0.267993941906179	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0654; BPSS2037;	bps01040~Biosynthesis_of_unsaturated_fatty_acids	2	5	40	0.180930049987885	0.934805258270741	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL0179; BPSL0187; BPSL0197; BPSL0346; BPSL0476; BPSL0483; BPSL0486; BPSL0507; BPSL0605; BPSL0614; BPSL0717; BPSL0826; BPSL0926; BPSL1164; BPSL1260; BPSL1416; BPSL1534; BPSL1535; BPSL1536; BPSL1540; BPSL1551; BPSL1577; BPSL1607; BPSL1721; BPSL1734; BPSL1763; BPSL1883; BPSL1954; BPSL1955; BPSL2073; BPSL2113; BPSL2116; BPSL2188; BPSL2192; BPSL2214; BPSL2219; BPSL2301; BPSL2309; BPSL2310; BPSL2312; BPSL2336; BPSL2351; BPSL2356; BPSL2363; BPSL2378; BPSL2387; BPSL2403; BPSL2410; BPSL2439; BPSL2442; BPSL2476; BPSL2497; BPSL2525; BPSL2670; BPSL2716; BPSL2727; BPSL2769; BPSL2885; BPSL2992; BPSL3037; BPSL3089; BPSL3122; BPSL3230; BPSL3231; BPSL3234; BPSL3239; BPSL3325; BPSL3369; BPSL3372; BPSS0005; BPSS0040; BPSS0043; BPSS0044; BPSS0046; BPSS0047; BPSS0144; BPSS0414; BPSS0419; BPSS0420; BPSS0421; BPSS0422; BPSS0425; BPSS0484; BPSS0626; BPSS0677; BPSS0695; BPSS0697; BPSS0721; BPSS0840; BPSS0913; BPSS0965; BPSS0976; BPSS0996; BPSS1158; BPSS1241; BPSS1243; BPSS1288; BPSS1354; BPSS1355; BPSS1448; BPSS1453; BPSS1487; BPSS1635; BPSS1638; BPSS1682; BPSS1688; BPSS1719; BPSS1720; BPSS1741; BPSS1833; BPSS1835; BPSS1891; BPSS1892; BPSS1897; BPSS1916; BPSS1944; BPSS2016; BPSS2021; BPSS2037; BPSS2111; BPSS2126; BPSS2214; BPSS2299; BPSS2307; BPSS2309; BPSS2319;	bps01100~Metabolic_pathways	128	1048	12.2137404580153	0.675785240674098	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL0197; BPSL0346; BPSL0483; BPSL0486; BPSL0507; BPSL0605; BPSL0614; BPSL0926; BPSL1164; BPSL1416; BPSL1535; BPSL1540; BPSL1577; BPSL1721; BPSL2188; BPSL2192; BPSL2214; BPSL2219; BPSL2301; BPSL2403; BPSL2410; BPSL2439; BPSL2525; BPSL2769; BPSL3325; BPSL3369; BPSS0414; BPSS0481; BPSS0485; BPSS0677; BPSS0721; BPSS0976; BPSS1682; BPSS1719; BPSS1720; BPSS1835; BPSS1944; BPSS2111; BPSS2214;	bps01110~Biosynthesis_of_secondary_metabolites	41	386	10.6217616580311	0.882402524775168	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL0346; BPSL0476; BPSL0486; BPSL0926; BPSL1535; BPSL1536; BPSL1540; BPSL1577; BPSL1607; BPSL2113; BPSL2116; BPSL2188; BPSL2192; BPSL2219; BPSL2301; BPSL2309; BPSL2310; BPSL2312; BPSL2336; BPSL2351; BPSL2727; BPSL3230; BPSL3231; BPSL3234; BPSL3369; BPSS0043; BPSS0044; BPSS0046; BPSS0047; BPSS0481; BPSS0695; BPSS0697; BPSS0996; BPSS1158; BPSS1241; BPSS1243; BPSS1487; BPSS1635; BPSS1719; BPSS1720; BPSS1891; BPSS1892; BPSS1916; BPSS1944; BPSS2299; BPSS2307;	bps01120~Microbial_metabolism_in_diverse_environments	48	303	15.8415841584158	0.0831622244542404	0.595829765806943	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL1535; BPSL1536; BPSL1540; BPSL2188; BPSL2192; BPSL2219; BPSL2301; BPSS1719; BPSS1720; BPSS1916; BPSS2214;	bps01200~Carbon_metabolism	13	121	10.7438016528926	0.753805656954918	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0476; BPSL0507; BPSL0926; BPSS0414; BPSS1635;	bps01210~2-Oxocarboxylic_acid_metabolism	5	32	15.625	0.403155347282424	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL0483; BPSL0614; BPSL1535; BPSL1540; BPSL1734; BPSL1883; BPSL2442; BPSL3037; BPSS0484; BPSS0721; BPSS2037;	bps01212~Fatty_acid_metabolism	13	45	28.8888888888889	0.0106263843004815	0.123531717493097	0.913869049841406	0.988253739944776	0.903242665540924	0.913869049841406	0.631887201348093
BPSS0046; BPSS0047; BPSS0695; BPSS1891; BPSS1892; BPSS1944;	bps01220~Degradation_of_aromatic_compounds	6	35	17.1428571428571	0.310363469239655	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0197; BPSL0346; BPSL0476; BPSL0486; BPSL0507; BPSL0926; BPSL1721; BPSL2214; BPSL2219; BPSL2336; BPSS0414; BPSS0677; BPSS1635;	bps01230~Biosynthesis_of_amino_acids	13	146	8.9041095890411	0.91835272897452	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0179; BPSL0717; BPSL2219; BPSL2476; BPSL2769; BPSL3239; BPSS0040; BPSS0721; BPSS1682; BPSS1833;	bps01240~Biosynthesis_of_cofactors	10	183	5.46448087431694	0.998989765913501	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0195; BPSL0816; BPSL1804; BPSL3094; BPSS1287;	bps01501~beta-Lactam_resistance	5	29	17.2413793103448	0.333196109352226	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL3094; BPSS1287;	bps01503~Cationic_antimicrobial_peptide_(CAMP)_resistance	2	13	15.3846153846154	0.514922495885415	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0038; BPSL0829; BPSL0920; BPSL0964; BPSL1824; BPSL1833; BPSL1836; BPSL1837; BPSL2608; BPSL3093; BPSL3166; BPSS0313; BPSS0561; BPSS0575; BPSS0802; BPSS1285;	bps02010~ABC_transporters	16	216	7.40740740740741	0.990859992961402	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0268; BPSL0465; BPSL0501; BPSL0502; BPSL0533; BPSL0619; BPSL0706; BPSL1171; BPSL1172; BPSL1268; BPSL1535; BPSL1540; BPSL1633; BPSL1634; BPSL1804; BPSL1829; BPSL2024; BPSL2309; BPSL2310; BPSL2311; BPSL2312; BPSL2313; BPSL2314; BPSL2336; BPSL2382; BPSL3094; BPSL3122; BPSL3291; BPSL3300; BPSL3301; BPSL3303; BPSL3305; BPSL3306; BPSL3307; BPSL3309; BPSL3310; BPSL3311; BPSL3319; BPSS0124; BPSS0215; BPSS0733; BPSS0933; BPSS1158; BPSS1218; BPSS1287; BPSS1830; BPSS1831; BPSS1875; BPSS1927; BPSS1978;	bps02020~Two-component_system	51	148	34.4594594594595	6.94613955243284e-09	3.22995489188127e-07	6.39044838823821e-07	6.45990978376254e-07	6.39044838823821e-07	6.39044838823821e-07	1.65218066949121e-06
BPSL0816; BPSL0920; BPSL1734; BPSL1883; BPSL2403; BPSL3037; BPSL3310; BPSL3311; BPSS0485; BPSS0536; BPSS0564; BPSS0575; BPSS0580; BPSS0802; BPSS0974; BPSS1352; BPSS1569;	bps02024~Quorum_sensing	17	119	14.2857142857143	0.357092407175896	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0027; BPSL0465; BPSL0706; BPSL1829; BPSL3299; BPSL3300; BPSL3301; BPSL3302; BPSL3303; BPSL3305; BPSL3306; BPSL3307; BPSL3308; BPSL3309; BPSS0215; BPSS0733; BPSS0933; BPSS1218; BPSS1927;	bps02030~Bacterial_chemotaxis	19	37	51.3513513513513	5.45220797720791e-06	0.000169018447293445	0.00049615092592592	0.000507055341880336	0.00049615092592592	0.00049615092592592	0.000864560096822287
BPSL0026; BPSL0027; BPSL0030; BPSL0103; BPSL0225; BPSL0226; BPSL0230; BPSL0231; BPSL0232; BPSL0267; BPSL0268; BPSL0269; BPSL0270; BPSL0271; BPSL0273; BPSL0274; BPSL0275; BPSL0276; BPSL0277; BPSL0278; BPSL0280; BPSL0281; BPSL0533; BPSL3291; BPSL3294; BPSL3308; BPSL3309; BPSL3310; BPSL3311; BPSL3319; BPSL3320; BPSL3321;	bps02040~Flagellar_assembly	32	47	68.0851063829787	1.64804836444432e-11	1.53268497893322e-09	1.53268497893322e-09	1.53268497893322e-09	1.53268497893322e-09	1.53268497893322e-09	7.83996241241034e-09
BPSL3195; BPSL3197;	bps03010~Ribosome	2	56	3.57142857142857	0.991856627463032	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2821;	bps03018~RNA_degradation	1	17	5.88235294117647	0.883178621402672	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL3094; BPSS0116; BPSS0181; BPSS1287; BPSS1498; BPSS1543; BPSS1618;	bps03070~Bacterial_secretion_system	7	89	7.86516853932584	0.925719149887604	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0441;	bps04122~Sulfur_relay_system	1	13	7.69230769230769	0.811653124023042	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
